checkpoint,index,seed,r1,r2,sss_mse,sst_mse,ssh_mse,sss_lr_mse,overall_mse
epoch19,42,526599,30,33,0.0005349994171410799,0.00013309177302289754,7.137916691135615e-05,4.2207153455819935e-05,0.0002464901190251112
epoch39,42,526599,30,33,0.00042255903827026486,0.000116502727905754,6.664944521617144e-05,4.0894068661145866e-05,0.00020190374925732613
epoch19,183,526740,30,33,0.002848072675988078,0.0001691958459559828,7.714229286648333e-05,7.671405910514295e-05,0.001031470368616283
epoch39,183,526740,30,33,0.0034201578237116337,0.00016778064309619367,7.205853762570769e-05,7.60071852710098e-05,0.0012199989287182689
epoch19,320,526877,30,33,0.0010505600366741419,0.0001195512741105631,5.8765290305018425e-05,6.14259042777121e-05,0.0004096255579497665
epoch39,320,526877,30,33,0.0011182143352925777,0.00011677734437398612,5.5932388931978494e-05,6.401246355380863e-05,0.00043030804954469204
